,song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2883,Fast And Frightening,L7,0GLlGaNAqRkQRlgj9toYo8,0,0.337,0.888,5,-9.311,1,0.0689,0.027,2.98e-05,0.154,0.442,182.919,audio_features,0GLlGaNAqRkQRlgj9toYo8,spotify:track:0GLlGaNAqRkQRlgj9toYo8,https://api.spotify.com/v1/tracks/0GLlGaNAqRkQRlgj9toYo8,https://api.spotify.com/v1/audio-analysis/0GLlGaNAqRkQRlgj9toYo8,157160,4
2884,Heroes And Villains - Remastered 2001,The Beach Boys,7BO7ZbaEmgCSSp3znPMxN4,53,0.426,0.583,1,-7.442,1,0.0354,0.524,4.05e-06,0.147,0.232,116.803,audio_features,7BO7ZbaEmgCSSp3znPMxN4,spotify:track:7BO7ZbaEmgCSSp3znPMxN4,https://api.spotify.com/v1/tracks/7BO7ZbaEmgCSSp3znPMxN4,https://api.spotify.com/v1/audio-analysis/7BO7ZbaEmgCSSp3znPMxN4,219307,1
2885,Reel Around the Fountain - 2011 Remaster,The Smiths,5bSASu4W0HJx6CuG8rbRcA,59,0.67,0.571,9,-9.976,1,0.0255,0.00507,7.23e-05,0.124,0.899,109.905,audio_features,5bSASu4W0HJx6CuG8rbRcA,spotify:track:5bSASu4W0HJx6CuG8rbRcA,https://api.spotify.com/v1/tracks/5bSASu4W0HJx6CuG8rbRcA,https://api.spotify.com/v1/audio-analysis/5bSASu4W0HJx6CuG8rbRcA,359227,4
2886,This Charming Man - 2011 Remaster,The Smiths,1FvDJ9KGxcqwv1utyPL3JZ,82,0.611,0.846,11,-5.9,1,0.0436,0.00509,0.0,0.0784,0.751,103.912,audio_features,1FvDJ9KGxcqwv1utyPL3JZ,spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,https://api.spotify.com/v1/tracks/1FvDJ9KGxcqwv1utyPL3JZ,https://api.spotify.com/v1/audio-analysis/1FvDJ9KGxcqwv1utyPL3JZ,162920,4
2887,Blood Red,The Datsuns,4NzHVGpkcj7cJ6LeCVjnVP,0,0.208,0.974,9,-4.724,0,0.14,5.48e-06,0.000109,0.16,0.281,177.502,audio_features,4NzHVGpkcj7cJ6LeCVjnVP,spotify:track:4NzHVGpkcj7cJ6LeCVjnVP,https://api.spotify.com/v1/tracks/4NzHVGpkcj7cJ6LeCVjnVP,https://api.spotify.com/v1/audio-analysis/4NzHVGpkcj7cJ6LeCVjnVP,227000,4
2888,Shots,Imagine Dragons,64MmobYNviePoiaINMrbMn,56,0.552,0.76,11,-6.861,0,0.0367,0.00713,0.0113,0.313,0.338,104.957,audio_features,64MmobYNviePoiaINMrbMn,spotify:track:64MmobYNviePoiaINMrbMn,https://api.spotify.com/v1/tracks/64MmobYNviePoiaINMrbMn,https://api.spotify.com/v1/audio-analysis/64MmobYNviePoiaINMrbMn,232333,4
2889,You Can't Put Your Arms Round a Memory,Johnny Thunders,2soxUQx6rPfOk0kHNePbhq,43,0.478,0.679,2,-7.645,1,0.0348,0.0674,0.0248,0.224,0.295,121.985,audio_features,2soxUQx6rPfOk0kHNePbhq,spotify:track:2soxUQx6rPfOk0kHNePbhq,https://api.spotify.com/v1/tracks/2soxUQx6rPfOk0kHNePbhq,https://api.spotify.com/v1/audio-analysis/2soxUQx6rPfOk0kHNePbhq,226080,4
2890,Ring of Fire,Social Distortion,3hKScGxI28Zor6zJ7JL7aS,56,0.336,0.942,5,-9.252,0,0.0492,0.0114,0.0291,0.0833,0.703,179.874,audio_features,3hKScGxI28Zor6zJ7JL7aS,spotify:track:3hKScGxI28Zor6zJ7JL7aS,https://api.spotify.com/v1/tracks/3hKScGxI28Zor6zJ7JL7aS,https://api.spotify.com/v1/audio-analysis/3hKScGxI28Zor6zJ7JL7aS,230773,4
2891,Beggin (original version),Madcon,1XyL3J7eTTKnxRZAM3LqIT,73,0.715,0.8,4,-5.144,0,0.057,0.0271,0.0,0.0648,0.445,129.023,audio_features,1XyL3J7eTTKnxRZAM3LqIT,spotify:track:1XyL3J7eTTKnxRZAM3LqIT,https://api.spotify.com/v1/tracks/1XyL3J7eTTKnxRZAM3LqIT,https://api.spotify.com/v1/audio-analysis/1XyL3J7eTTKnxRZAM3LqIT,216147,4
2892,The Boys of Summer,The Ataris,5BmagRD7Thki6O1zZwbxBy,67,0.251,0.954,6,-2.879,1,0.0691,0.000674,0.000132,0.0975,0.264,191.059,audio_features,5BmagRD7Thki6O1zZwbxBy,spotify:track:5BmagRD7Thki6O1zZwbxBy,https://api.spotify.com/v1/tracks/5BmagRD7Thki6O1zZwbxBy,https://api.spotify.com/v1/audio-analysis/5BmagRD7Thki6O1zZwbxBy,258000,4
